コード,銘柄名,市場区分,更新日
6485,前澤給装工業,プライム,2023/08/09
7438,コンドーテック,プライム,2023/08/09
7949,小松ウオール工業,プライム,2023/08/09
5631,日本製鋼所,プライム,2023/08/09
6005,三浦工業,プライム,2023/08/09
6013,タクマ,プライム,2023/08/09
6101,ツガミ,プライム,2023/08/09
6103,オークマ,プライム,2023/08/09
6104,芝浦機械,プライム,2023/08/09
6113,アマダ,プライム,2023/08/09
6118,アイダエンジニアリング,プライム,2023/08/09
6134,ＦＵＪＩ,プライム,2023/08/09
6135,牧野フライス製作所,プライム,2023/08/09
6136,オーエスジー,プライム,2023/08/09
6140,旭ダイヤモンド工業,プライム,2023/08/09
6141,ＤＭＧ森精機,プライム,2023/08/09
6143,ソディック,プライム,2023/08/09
6151,日東工器,プライム,2023/08/09
6157,日進工具,プライム,2023/08/09
6165,パンチ工業,プライム,2023/08/09
6167,冨士ダイス,プライム,2023/08/09
6201,豊田自動織機,プライム,2023/08/09
6203,豊和工業,プライム,2023/08/09
6210,東洋機械金属,プライム,2023/08/09
6218,エンシュウ,プライム,2023/08/09
6222,島精機製作所,プライム,2023/08/09
6235,オプトラン,プライム,2023/08/09
6237,イワキ,プライム,2023/08/09
6238,フリュー,プライム,2023/08/09
6240,ヤマシンフィルタ,プライム,2023/08/09
6247,日阪製作所,プライム,2023/08/09
6250,やまびこ,プライム,2023/08/09
6254,野村マイクロ・サイエンス,プライム,2023/08/09
6258,平田機工,プライム,2023/08/09
6262,ペガサスミシン製造,プライム,2023/08/09
6264,マルマエ,プライム,2023/08/09
6266,タツモ,プライム,2023/08/09
6268,ナブテスコ,プライム,2023/08/09
6269,三井海洋開発,プライム,2023/08/09
6272,レオン自動機,プライム,2023/08/09
6273,ＳＭＣ,プライム,2023/08/09
6277,ホソカワミクロン,プライム,2023/08/09
6278,ユニオンツール,プライム,2023/08/09
6279,瑞光,プライム,2023/05/17
6282,オイレス工業,プライム,2023/08/09
6284,日精エー・エス・ビー機械,プライム,2023/08/09
6287,サトーホールディングス,プライム,2023/08/09
6289,技研製作所,プライム,2023/08/09
6291,日本エアーテック,プライム,2023/08/09
6293,日精樹脂工業,プライム,2023/08/09
6294,オカダアイヨン,プライム,2023/08/09
6298,ワイエイシイホールディングス,プライム,2023/08/09
6301,小松製作所,プライム,2023/08/09
6302,住友重機械工業,プライム,2023/08/09
6305,日立建機,プライム,2023/08/09
6306,日工,プライム,2023/08/09
6309,巴工業,プライム,2023/08/09
6310,井関農機,プライム,2023/08/09
6315,ＴＯＷＡ,プライム,2023/08/09
6317,北川鉄工所,プライム,2023/08/09
6323,ローツェ,プライム,2023/08/09
6326,クボタ,プライム,2023/08/09
6328,荏原実業,プライム,2023/08/09
6330,東洋エンジニアリング,プライム,2023/08/09
6331,三菱化工機,プライム,2023/08/09
6332,月島機械,プライム,2023/08/09
6339,新東工業,プライム,2023/08/09
6340,澁谷工業,プライム,2023/08/09
6345,アイチコーポレーション,プライム,2023/08/09
6349,小森コーポレーション,プライム,2023/08/09
6351,鶴見製作所,プライム,2023/08/09
6358,酒井重工業,プライム,2023/08/09
6361,荏原製作所,プライム,2023/08/09
6363,酉島製作所,プライム,2023/08/09
6364,北越工業,プライム,2023/08/09
6367,ダイキン工業,プライム,2023/08/09
6368,オルガノ,プライム,2023/08/09
6369,トーヨーカネツ,プライム,2023/08/09
6370,栗田工業,プライム,2023/08/09
6371,椿本チエイン,プライム,2023/08/09
6381,アネスト岩田,プライム,2023/08/09
6383,ダイフク,プライム,2023/08/09
6387,サムコ,プライム,2023/08/09
6390,加藤製作所,プライム,2023/08/09
6395,タダノ,プライム,2023/08/09
6406,フジテック,プライム,2023/08/09
6407,ＣＫＤ,プライム,2023/08/09
6412,平和,プライム,2023/08/09
6413,理想科学工業,プライム,2023/08/09
6417,ＳＡＮＫＹＯ,プライム,2023/08/09
6419,マースグループホールディングス,プライム,2023/08/09
6420,フクシマガリレイ,プライム,2023/08/09
6428,オーイズミ,プライム,2023/08/09
6430,ダイコク電機,プライム,2023/08/09
6432,竹内製作所,プライム,2023/08/09
6436,アマノ,プライム,2023/08/09
6440,ＪＵＫＩ,プライム,2023/08/09
6444,サンデン,プライム,2023/08/09
6445,ジャノメ,プライム,2023/08/09
6454,マックス,プライム,2023/08/09
6455,モリタホールディングス,プライム,2023/08/09
6457,グローリー,プライム,2023/08/09
6458,新晃工業,プライム,2023/08/09
6459,大和冷機工業,プライム,2023/08/09
